AÑO; MES ;"SPT
(para agregado)";"SPNF
(para agregado)";"PGE 
(para agregado)";"SPT
(para consolidado)";"SPNF
(para consolidado)";"PGE 
(para consolidado)"; TIPO DE ACREEDOR GENERAL ; TIPO DE ACREEDORS ESPECÍFICO ; SALDO AL MES ANTERIOR ; DESEMBOLSOS ; AMORTIZACIONES ; INTERESES ; SALDO DEL MES 
2021;JUNIO;1;1;1;1;1;1;TÍTULOS DE DEUDA;BONOS EMITIDOS EN MERCADO NACIONAL CON TENEDORES PRIVADOS;1.193.136,02;41.888,02;6.461,42;6.032,11;1.228.562,62
2021;JUNIO;1;1;1;0;0;0;TÍTULOS DE DEUDA;BONOS EMITIDOS EN MERCADO NACIONAL CON TENEDORES PÚBLICOS;13.498.670,64;141.224,11;62.700,73;78.408,74;13.577.194,01
2021;JUNIO;0;0;0;0;1;0;TÍTULOS DE DEUDA;BONOS EMITIDOS EN MERCADO NACIONAL CON TENEDORES PÚBLICOS;4.050.566,62;129.986,03;18.000,00;4.770,98;4.162.552,65
2021;JUNIO;0;0;0;0;0;1;TÍTULOS DE DEUDA;BONOS EMITIDOS EN MERCADO NACIONAL CON TENEDORES PÚBLICOS;13.488.164,16;141.224,11;62.700,73;78.408,74;13.566.687,53
2021;JUNIO;1;1;1;0;0;0;OTRAS CUENTAS POR PAGAR;OBLIGACIONES NO PAGADAS Y REGISTRADAS EN PRESUPUESTOS CLAUSURADOS;568.174,55; -   ; -   ; -   ;524.306,90
2021;JUNIO;0;0;0;1;0;0;OTRAS CUENTAS POR PAGAR;OBLIGACIONES NO PAGADAS Y REGISTRADAS EN PRESUPUESTOS CLAUSURADOS;61.006,37; -   ; -   ; -   ;57.466,43
2021;JUNIO;0;0;0;0;1;0;OTRAS CUENTAS POR PAGAR;OBLIGACIONES NO PAGADAS Y REGISTRADAS EN PRESUPUESTOS CLAUSURADOS;142.526,14; -   ; -   ; -   ;137.517,23
2021;JUNIO;0;0;0;0;0;1;OTRAS CUENTAS POR PAGAR;OBLIGACIONES NO PAGADAS Y REGISTRADAS EN PRESUPUESTOS CLAUSURADOS;442.271,51; -   ; -   ; -   ;414.523,17
2021;JUNIO;1;1;1;0;0;1;OTRAS CUENTAS POR PAGAR;SEGURIDAD SOCIAL;381.065,84; -   ; -   ; -   ;381.065,84
2021;JUNIO;1;1;1;0;1;1;PRÉSTAMOS INTERNOS;BANCO CENTRAL DEL ECUADOR;500.000,00; -   ; -   ;7.572,24;500.000,00
;;;;;;;;;;233.268.869,81;2.800.490,83;2.792.584,01;1.119.391,69;232.417.304,79
