EJERCICIO;CODIGO_EOD;NOMBRE_EOD;ITEM;NOMBRE_ITEM; INICIAL ; CODIFICADO ; COMPROMETIDO ; DEVENGADO ; PAGADO 
2021;010-0001;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - AZUAY;510105;Remuneraciones Unificadas; 14.216.266,52 ; 13.957.495,58 ; 8.056.000,79 ; 8.056.000,79 ; 8.056.000,79 
2021;010-0001;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - AZUAY;510106;Salarios Unificados; 97.608,00 ; 57.216,00 ; 33.376,00 ; 33.376,00 ; 33.376,00 
2021;010-0001;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - AZUAY;510203;Decimo Tercer Sueldo; 1.219.849,07 ; 1.247.518,03 ; 130.759,48 ; 130.759,48 ; 130.759,48 
2021;010-0001;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - AZUAY;510204;Decimo Cuarto Sueldo; 231.478,19 ; 227.285,87 ; 207.811,07 ; 207.811,07 ; 207.811,07 
2021;010-0001;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - AZUAY;510306;Alimentacion; 7.530,00 ; 7.200,00 ; -   ; -   ; -   
2021;010-0001;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - AZUAY;510507;Honorarios; -   ; 7.400,00 ; 4.211,17 ; 4.211,17 ; 4.211,17 
2021;010-0001;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - AZUAY;510510;Servicios Personales por Contrato; 749.275,93 ; 831.077,43 ; 449.402,43 ; 449.402,43 ; 449.402,43 
2021;010-0001;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - AZUAY;510601;Aporte Patronal; 1.383.117,24 ; 1.362.900,27 ; 789.107,83 ; 789.107,83 ; 789.107,83 
2021;010-0001;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - AZUAY;510602;Fondo de Reserva; 1.232.286,08 ; 1.228.893,39 ; 706.076,84 ; 706.076,84 ; 706.076,84 
2021;010-0001;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - AZUAY;710706;Beneficio por Jubilacion; 174.345,00 ; 92.630,00 ; -   ; -   ; -   
2021;010-0002;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA BOLIVAR;510105;Remuneraciones Unificadas; 4.436.856,56 ; 4.203.127,42 ; 2.461.672,14 ; 2.461.672,14 ; 2.461.672,14 
2021;010-0002;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA BOLIVAR;510106;Salarios Unificados; 160.254,14 ; 61.848,00 ; 36.078,00 ; 36.078,00 ; 36.078,00 
2021;010-0002;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA BOLIVAR;510203;Decimo Tercer Sueldo; 384.449,58 ; 370.207,86 ; 23.480,29 ; 23.480,29 ; 23.480,29 
2021;010-0002;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA BOLIVAR;510204;Decimo Cuarto Sueldo; 90.660,93 ; 76.912,76 ; 74.323,80 ; 74.323,80 ; 74.323,80 
2021;010-0002;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA BOLIVAR;510306;Alimentacion; 12.856,95 ; 8.392,86 ; 660,72 ; 660,72 ; 660,72 
2021;010-0002;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA BOLIVAR;510510;Servicios Personales por Contrato; 161.172,00 ; 175.284,50 ; 100.209,50 ; 100.209,50 ; 100.209,50 
2021;010-0002;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA BOLIVAR;510601;Aporte Patronal; 441.530,99 ; 409.705,27 ; 239.918,36 ; 239.918,36 ; 239.918,36 
2021;010-0002;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA BOLIVAR;510602;Fondo de Reserva; 391.489,15 ; 367.232,55 ; 214.895,13 ; 214.895,13 ; 214.895,13 
2021;010-0002;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA BOLIVAR;510707;Compensacion por Vacaciones no Gozadas por Cesacion de Funciones ; 6.533,12 ; 4.500,00 ; 497,16 ; 497,16 ; 497,16 
2021;010-0003;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA CANAR;510105;Remuneraciones Unificadas; 5.845.513,67 ; 5.628.613,76 ; 3.284.859,33 ; 3.284.859,33 ; 3.284.859,33 
2021;010-0003;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA CANAR;510106;Salarios Unificados; 28.608,00 ; 28.608,00 ; 16.688,00 ; 16.688,00 ; 16.688,00 
2021;010-0003;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA CANAR;510203;Decimo Tercer Sueldo; 504.038,46 ; 494.986,30 ; 23.180,19 ; 23.180,19 ; 23.180,19 
2021;010-0003;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA CANAR;510204;Decimo Cuarto Sueldo; 97.177,30 ; 93.599,66 ; 89.550,31 ; 89.550,31 ; 89.550,31 
2021;010-0003;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA CANAR;510306;Alimentacion; 1.196,25 ; 3.600,00 ; -   ; -   ; -   
2021;010-0003;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA CANAR;510509;Horas Extraordinarias y Suplementarias; -   ; 2.500,00 ; 461,28 ; 461,28 ; 461,28 
2021;010-0003;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA CANAR;510510;Servicios Personales por Contrato; 287.446,87 ; 285.978,00 ; 161.874,50 ; 161.874,50 ; 161.874,50 
2021;010-0003;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA CANAR;510601;Aporte Patronal; 566.503,86 ; 546.232,20 ; 318.601,86 ; 318.601,86 ; 318.601,86 
2021;010-0003;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA CANAR;510602;Fondo de Reserva; 496.637,38 ; 493.822,06 ; 285.384,11 ; 285.384,11 ; 285.384,11 
2021;010-0004;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CARCHI;510105;Remuneraciones Unificadas; 3.511.852,04 ; 3.503.924,04 ; 2.040.514,44 ; 2.040.514,44 ; 2.040.514,44 
2021;010-0004;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CARCHI;510106;Salarios Unificados; 14.304,00 ; 14.304,00 ; 8.344,00 ; 8.344,00 ; 8.344,00 
2021;010-0004;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CARCHI;510203;Decimo Tercer Sueldo; 310.917,72 ; 310.910,05 ; 30.468,97 ; 30.468,97 ; 30.468,97 
2021;010-0004;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CARCHI;510204;Decimo Cuarto Sueldo; 60.528,23 ; 58.425,32 ; 54.600,30 ; 54.600,30 ; 54.600,30 
2021;010-0004;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CARCHI;510306;Alimentacion; 1.519,65 ; 1.800,00 ; -   ; -   ; -   
2021;010-0004;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CARCHI;510510;Servicios Personales por Contrato; 204.864,00 ; 210.102,00 ; 119.692,00 ; 119.692,00 ; 119.692,00 
2021;010-0004;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CARCHI;510601;Aporte Patronal; 342.841,99 ; 342.755,80 ; 199.319,04 ; 199.319,04 ; 199.319,04 
2021;010-0004;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CARCHI;510602;Fondo de Reserva; 307.950,24 ; 309.446,56 ; 179.516,91 ; 179.516,91 ; 179.516,91 
2021;010-0004;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CARCHI;710706;Beneficio por Jubilacion; -   ; 53.100,00 ; -   ; -   ; -   
2021;010-0005;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA COTOPAXI;510105;Remuneraciones Unificadas; 5.988.203,84 ; 5.805.255,97 ; 3.369.381,82 ; 3.369.381,82 ; 3.369.381,82 
2021;010-0005;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA COTOPAXI;510106;Salarios Unificados; 16.904,00 ; 14.304,00 ; 8.344,00 ; 8.344,00 ; 8.344,00 
2021;010-0005;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA COTOPAXI;510203;Decimo Tercer Sueldo; 513.323,17 ; 503.749,95 ; 52.283,82 ; 52.283,82 ; 52.283,82 
2021;010-0005;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA COTOPAXI;510204;Decimo Cuarto Sueldo; 103.126,51 ; 100.105,11 ; 92.924,63 ; 92.924,63 ; 92.924,63 
2021;010-0005;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA COTOPAXI;510306;Alimentacion; 1.376,25 ; 1.800,00 ; 150,00 ; 150,00 ; 150,00 
2021;010-0005;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA COTOPAXI;510507;Honorarios; 2.082,00 ; 2.844,40 ; 2.840,53 ; 2.840,53 ; 2.840,53 
2021;010-0005;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA COTOPAXI;510510;Servicios Personales por Contrato; 195.312,01 ; 136.570,60 ; 78.095,60 ; 78.095,60 ; 78.095,60 
2021;010-0005;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA COTOPAXI;510601;Aporte Patronal; 570.065,81 ; 549.505,54 ; 317.839,23 ; 317.839,23 ; 317.839,23 
2021;010-0005;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA COTOPAXI;510602;Fondo de Reserva; 508.560,52 ; 491.649,42 ; 285.649,95 ; 285.649,95 ; 285.649,95 
2021;010-0005;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA COTOPAXI;510707;Compensacion por Vacaciones no Gozadas por Cesacion de Funciones ; 14.275,60 ; 7.568,60 ; 5.555,03 ; 5.555,03 ; 5.555,03 
2021;010-0005;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA COTOPAXI;710706;Beneficio por Jubilacion; 51.920,00 ; 99.415,00 ; -   ; -   ; -   
2021;010-0006;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CHIMBORAZO;510105;Remuneraciones Unificadas; 6.853.335,71 ; 6.605.561,95 ; 3.849.786,35 ; 3.849.786,35 ; 3.849.786,35 
2021;010-0006;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CHIMBORAZO;510106;Salarios Unificados; 42.848,00 ; 35.760,00 ; 20.860,00 ; 20.860,00 ; 20.860,00 
2021;010-0006;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CHIMBORAZO;510203;Decimo Tercer Sueldo; 588.234,55 ; 573.528,89 ; 54.011,05 ; 54.011,05 ; 54.011,05 
2021;010-0006;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CHIMBORAZO;510204;Decimo Cuarto Sueldo; 114.338,84 ; 109.629,40 ; 102.957,11 ; 102.957,11 ; 102.957,11 
2021;010-0006;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CHIMBORAZO;510306;Alimentacion; 3.855,18 ; 4.500,00 ; -   ; -   ; -   
2021;010-0006;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CHIMBORAZO;510510;Servicios Personales por Contrato; 276.508,00 ; 272.807,07 ; 163.336,07 ; 163.336,07 ; 163.336,07 
2021;010-0006;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CHIMBORAZO;510601;Aporte Patronal; 659.137,83 ; 635.784,59 ; 370.637,60 ; 370.637,60 ; 370.637,60 
2021;010-0006;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CHIMBORAZO;510602;Fondo de Reserva; 585.243,06 ; 571.319,17 ; 333.895,67 ; 333.895,67 ; 333.895,67 
2021;010-0006;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CHIMBORAZO;710706;Beneficio por Jubilacion; -   ; 47.495,00 ; -   ; -   ; -   
2021;010-0007;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA EL ORO;510105;Remuneraciones Unificadas; 10.585.962,21 ; 10.312.260,77 ; 6.019.416,62 ; 6.019.416,62 ; 6.019.416,62 
2021;010-0007;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA EL ORO;510106;Salarios Unificados; 40.080,00 ; 7.152,00 ; 4.172,00 ; 4.172,00 ; 4.172,00 
2021;010-0007;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA EL ORO;510203;Decimo Tercer Sueldo; 932.616,62 ; 906.737,36 ; 97.366,94 ; 97.366,94 ; 97.366,94 
2021;010-0007;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA EL ORO;510204;Decimo Cuarto Sueldo; 183.435,69 ; 172.066,60 ; 162.234,23 ; 162.234,23 ; 162.234,23 
2021;010-0007;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA EL ORO;510306;Alimentacion; 3.148,94 ; 900,00 ; 75,00 ; 75,00 ; 75,00 
2021;010-0007;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA EL ORO;510510;Servicios Personales por Contrato; 691.747,40 ; 623.737,00 ; 336.712,00 ; 336.712,00 ; 336.712,00 
2021;010-0007;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA EL ORO;510601;Aporte Patronal; 1.039.707,79 ; 1.004.892,79 ; 584.164,36 ; 584.164,36 ; 584.164,36 
2021;010-0007;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA EL ORO;510602;Fondo de Reserva; 929.376,94 ; 912.328,62 ; 529.664,01 ; 529.664,01 ; 529.664,01 
2021;010-0007;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA EL ORO;510707;Compensacion por Vacaciones no Gozadas por Cesacion de Funciones ; 24.332,63 ; 2.644,20 ; 2.644,20 ; 2.644,20 ; 2.644,20 
2021;010-0007;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA EL ORO;710706;Beneficio por Jubilacion; 93.367,50 ; 92.630,00 ; -   ; -   ; -   
2021;010-0008;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - ESMERALDAS;510105;Remuneraciones Unificadas; 5.764.188,73 ; 5.777.381,62 ; 3.336.862,92 ; 3.336.862,92 ; 3.336.862,92 
2021;010-0008;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - ESMERALDAS;510106;Salarios Unificados; 63.313,85 ; 34.920,00 ; 20.370,00 ; 20.370,00 ; 20.370,00 
2021;010-0008;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - ESMERALDAS;510203;Decimo Tercer Sueldo; 511.273,81 ; 537.191,36 ; 22.304,79 ; 22.304,79 ; 22.304,79 
2021;010-0008;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - ESMERALDAS;510204;Decimo Cuarto Sueldo; 114.721,13 ; 110.860,20 ; 106.493,55 ; 106.493,55 ; 106.493,55 
2021;010-0008;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - ESMERALDAS;510306;Alimentacion; 5.342,45 ; 7.846,40 ; 346,40 ; 346,40 ; 346,40 
2021;010-0008;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - ESMERALDAS;510510;Servicios Personales por Contrato; 392.179,35 ; 401.984,00 ; 231.934,00 ; 231.934,00 ; 231.934,00 
2021;010-0008;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - ESMERALDAS;510513;Encargos; 5.808,00 ; 5.766,66 ; 3.710,66 ; 3.710,66 ; 3.710,66 
2021;010-0008;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - ESMERALDAS;510601;Aporte Patronal; 573.605,97 ; 570.292,04 ; 330.524,51 ; 330.524,51 ; 330.524,51 
2021;010-0008;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - ESMERALDAS;510602;Fondo de Reserva; 505.910,12 ; 513.986,01 ; 298.106,78 ; 298.106,78 ; 298.106,78 
2021;010-0008;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - ESMERALDAS;510707;Compensacion por Vacaciones no Gozadas por Cesacion de Funciones ; 9.580,71 ; 16.765,02 ; 12.074,48 ; 12.074,48 ; 12.074,48 
2021;010-0009;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - GUAYAS;510105;Remuneraciones Unificadas; 42.200.947,65 ; 40.509.364,29 ; 23.751.198,87 ; 23.751.198,87 ; 23.751.198,87 
2021;010-0009;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - GUAYAS;510106;Salarios Unificados; 161.859,46 ; 51.630,67 ; 30.945,67 ; 30.945,67 ; 30.945,67 
2021;010-0009;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - GUAYAS;510203;Decimo Tercer Sueldo; 3.724.509,21 ; 3.602.045,87 ; 391.949,98 ; 391.949,98 ; 391.949,98 
2021;010-0009;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - GUAYAS;510204;Decimo Cuarto Sueldo; 776.792,76 ; 743.372,50 ; 689.773,57 ; 689.773,57 ; 689.773,57 
2021;010-0009;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - GUAYAS;510306;Alimentacion; 13.938,75 ; 7.175,00 ; -   ; -   ; -   
2021;010-0009;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - GUAYAS;510507;Honorarios; 1.943,20 ; 5.063,67 ; 5.063,67 ; 5.063,67 ; 5.063,67 
2021;010-0009;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - GUAYAS;510510;Servicios Personales por Contrato; 3.007.539,80 ; 3.264.538,00 ; 1.799.195,60 ; 1.799.195,60 ; 1.799.195,60 
2021;010-0009;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - GUAYAS;510601;Aporte Patronal; 4.162.887,69 ; 4.017.382,48 ; 2.346.568,66 ; 2.346.568,66 ; 2.346.568,66 
2021;010-0009;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - GUAYAS;510602;Fondo de Reserva; 3.719.202,72 ; 3.612.328,52 ; 2.114.390,05 ; 2.114.390,05 ; 2.114.390,05 
2021;010-0009;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - GUAYAS;510707;Compensacion por Vacaciones no Gozadas por Cesacion de Funciones ; 102.090,33 ; 53.415,80 ; 14.420,04 ; 14.420,04 ; 14.420,04 
2021;010-0009;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - GUAYAS;710706;Beneficio por Jubilacion; 115.640,00 ; 509.907,50 ; -   ; -   ; -   
2021;010-0010;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - IMBABURA;510105;Remuneraciones Unificadas; 6.848.253,50 ; 6.755.767,51 ; 3.915.741,26 ; 3.915.741,26 ; 3.915.741,26 
2021;010-0010;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - IMBABURA;510106;Salarios Unificados; 25.944,00 ; 21.456,00 ; 12.516,00 ; 12.516,00 ; 12.516,00 
2021;010-0010;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - IMBABURA;510203;Decimo Tercer Sueldo; 596.874,88 ; 590.531,30 ; 93.632,13 ; 93.632,13 ; 93.632,13 
2021;010-0010;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - IMBABURA;510204;Decimo Cuarto Sueldo; 126.811,29 ; 122.993,04 ; 113.565,11 ; 113.565,11 ; 113.565,11 
2021;010-0010;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - IMBABURA;510306;Alimentacion; 2.403,75 ; 2.700,00 ; -   ; -   ; -   
2021;010-0010;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - IMBABURA;510510;Servicios Personales por Contrato; 297.270,40 ; 305.226,00 ; 175.786,00 ; 175.786,00 ; 175.786,00 
2021;010-0010;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - IMBABURA;510513;Encargos; 7.675,87 ; 587,04 ; -   ; -   ; -   
2021;010-0010;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - IMBABURA;510601;Aporte Patronal; 660.053,77 ; 651.158,11 ; 377.318,45 ; 377.318,45 ; 377.318,45 
2021;010-0010;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - IMBABURA;510602;Fondo de Reserva; 589.468,25 ; 585.365,98 ; 340.072,21 ; 340.072,21 ; 340.072,21 
2021;010-0010;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - IMBABURA;510707;Compensacion por Vacaciones no Gozadas por Cesacion de Funciones ; 27.293,63 ; 1.751,42 ; 1.751,42 ; 1.751,42 ; 1.751,42 
2021;010-0010;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - IMBABURA;710706;Beneficio por Jubilacion; 49.560,00 ; 70.947,50 ; -   ; -   ; -   
2021;010-0011;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA LOJA;510105;Remuneraciones Unificadas; 9.369.157,32 ; 9.164.566,71 ; 5.327.866,96 ; 5.327.866,96 ; 5.327.866,96 
2021;010-0011;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA LOJA;510106;Salarios Unificados; 17.104,00 ; 14.164,93 ; 8.204,93 ; 8.204,93 ; 8.204,93 
2021;010-0011;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA LOJA;510203;Decimo Tercer Sueldo; 836.092,69 ; 830.930,88 ; 65.334,29 ; 65.334,29 ; 65.334,29 
2021;010-0011;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA LOJA;510204;Decimo Cuarto Sueldo; 165.025,35 ; 161.948,02 ; 151.794,05 ; 151.794,05 ; 151.794,05 
2021;010-0011;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA LOJA;510306;Alimentacion; 1.410,32 ; 1.800,00 ; -   ; -   ; -   
2021;010-0011;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA LOJA;510510;Servicios Personales por Contrato; 796.480,33 ; 768.058,00 ; 442.733,00 ; 442.733,00 ; 442.733,00 
2021;010-0011;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA LOJA;510601;Aporte Patronal; 933.851,96 ; 912.105,81 ; 529.883,30 ; 529.883,30 ; 529.883,30 
2021;010-0011;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA LOJA;510602;Fondo de Reserva; 827.164,63 ; 828.052,18 ; 481.170,78 ; 481.170,78 ; 481.170,78 
2021;010-0011;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA LOJA;510707;Compensacion por Vacaciones no Gozadas por Cesacion de Funciones ; 5.694,07 ; 8.938,66 ; 8.938,66 ; 8.938,66 ; 8.938,66 
2021;010-0012;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA LOS RIOS;510105;Remuneraciones Unificadas; 9.645.431,26 ; 9.544.674,60 ; 5.564.049,35 ; 5.564.049,35 ; 5.564.049,35 
2021;010-0012;DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA LOS RIOS;510106;Salarios Unificados; 28.608,00 ; 28.608,00 ; 16.688,00 ; 16.688,00 ; 16.688,00 
