A§o Registro;Mes Registro;Tipo Registro;Tipo Impedimento-Gobierno Abierto;Estado;No Registros;FECHA CORTE
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;23;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;13;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;59;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;1;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;2;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;3;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;9;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;1;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;6;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;9;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;10;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;1;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;1;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;4;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;66;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;8;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;114;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;11;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;12;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;2;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;13;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;1;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;1;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;53;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;1;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;3;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;2;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;8;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;3;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;4;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;1;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;1;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;2;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;2;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;1;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;2;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;3;31/5/2022
2000;5;Impedimento;INTERDICCION JUDICIAL;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;14;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;2;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;25;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;3;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;22;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;5;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;7;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;3;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;5;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;1;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;26;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;16;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;2;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;48;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;9;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;96;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;32;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;7;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;1;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;41;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;2;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;28;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;11;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;2;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;16;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;2;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;2;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;6;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;101;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;6;31/5/2022
2000;5;Impedimento;TERMINACION DE RELACIONES LABORALES;Activo;2;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;1;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;36;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;18;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;2;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;1;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;3;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;2;31/5/2022
2000;5;Impedimento;TERMINACION DE RELACIONES LABORALES;Activo;23;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;11;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;77;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;8;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;1;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;7;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;130;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;42;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;2;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;4;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;4;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;15;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;65;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;104152;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;3;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;6;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;22;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;34;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;180;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;13;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;254;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;33;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;2;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;133;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;3;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;5;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;23;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;2;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;34;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;3;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;2;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;1;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;4;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;9;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;2;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;58;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;4;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;5;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;2;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;1;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;16;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;3;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;513;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;38;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;13;31/5/2022
2000;5;Impedimento;DESTITUCI‡N;Activo;1;31/5/2022
2000;5;Impedimento;DESTITUCI‡N;Activo;7;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;56;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;3;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;75;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;147;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;24;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;3;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;517;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;43;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;13;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;49;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;5;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;5;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;157;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;2;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;367;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;117;31/5/2022
2000;5;Impedimento;TERMINACION DE RELACIONES LABORALES;Activo;12;31/5/2022
2000;5;Impedimento;DESTITUCI‡N;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;14;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;5;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;190;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;9;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;26;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;1;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;63;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;5;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;1;31/5/2022
2000;5;Impedimento;INDEMNIZACI‡N POR RETIRO VOLUNTARIO;Activo;3;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;3;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;2;31/5/2022
2000;5;Impedimento;TERMINACION DE RELACIONES LABORALES;Activo;2;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;21;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;3;31/5/2022
2000;5;Impedimento;JUBILADOS - RETIRADOS - PENSIONISTAS;Activo;1;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;1;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;7;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;21;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;4;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;22;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;18;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;75;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;44;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;2;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;4;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;31;31/5/2022
2000;5;Impedimento;INDEMNIZACION POR SUPRESION DE PUESTO;Activo;1;31/5/2022
2000;5;Impedimento;COMPENSACION POR RETIRO VOLUNTARIO;Activo;4;31/5/2022
